lucode,LULC_desc,LULC_veg,root_depth,Kc
1,BroadleafForest,1,3500,1
2,BroadleafForest,1,3500,1
3,Mangrove,0,3500,1
4,InlandForestedWetland,0,3500,1
5,InlandForestedWetland,0,3500,1
6,PalmForest,1,3500,1
7,ConiferousForest,1,3500,1
8,BroadleafForest,1,3500,1
9,Shrubland,1,2000,0.5
10,Grassland,1,2000,0.65
11,Wetland,0,2000,0.5
12,BareArea,0,500,0.2
13,BeachDuneAndSand,0,500,0.2
14,Coffee,1,2250,0.825
15,PermanentCropland,1,2250,0.825
16,OilPalmPlantation,1,2250,0.825
17,Banana,1,2250,0.825
18,PermanentCropland,1,2250,0.825
19,RiceField,1,1000,0.65
20,Sugarcane,1,2250,0.825
21,HeterogeneousAgriculturalLand,1,2250,0.825
22,ArableLand,1,1000,0.65
23,Pineapple,1,1000,0.65
24,ArableLand,1,1000,0.65
25,HeterogeneousAgriculturalLand,1,1833,0.675
26,Pastureland,1,2000,0.65
27,WaterBody,0,10,1
28,Urban,0,0,0.29
29,IndustrialCommercialTransport,0,0,0.29
30,MineDumpConstruction,0,0,0.29
31,OpenWater,0,10,1
32,MineDumpConstruction,0,0,0.29
